domain,alive,homepage_kb,internal_links,indexed_pages_est,visitors_est_monthly
000.az,TRUE,98.62,213,429,17329
001.az,TRUE,9.14,0,21,243
002.az,TRUE,35.92,0,79,1059
003.az,TRUE,35.92,0,79,1077
004.az,TRUE,35.92,0,79,1058
005.az,TRUE,35.92,0,79,976
006.az,TRUE,35.92,0,79,1095
008.az,TRUE,35.92,0,79,1091
009.az,TRUE,35.92,0,79,995
010.az,TRUE,129,42,394,16178
0101.az,TRUE,20.6,3,49,752
022avtoservis.az,TRUE,0.6,0,2,20
070.az,TRUE,31.31,27,90,1869
088.az,TRUE,0.19,0,1,9
0km.az,TRUE,32.09,45,100,2244
1-0.az,TRUE,2,0,5,48
1-2-3.az,TRUE,389.72,131,1497,153725
1-win.az,FALSE,0,0,1,1
100.az,TRUE,6.16,0,14,150
1000.az,TRUE,0,0,1,9
1001flowers.az,FALSE,0,0,1,1
1001gece.az,FALSE,0,0,1,1
1001info.az,TRUE,55.16,107,203,5852
1001kitab.az,TRUE,180.64,283,849,46097
1001sinaq.az,FALSE,0,0,1,1
1001tours.az,TRUE,23.69,36,71,1441
1001xidmet.az,FALSE,0,0,1,1
100faktintarixi.az,TRUE,93.13,3,217,5241
100yasha.az,TRUE,86.9,8,217,6298
101domain.az,TRUE,17.51,12,46,778
102info.az,TRUE,650.39,789,4227,716486
106-3fm.az,TRUE,64.6,38,195,5537
106fm.az,TRUE,2.33,0,6,60
10lar.az,TRUE,0.68,0,2,20
110.az,TRUE,35.92,0,79,1155
112.az,FALSE,0,0,1,1
114.az,TRUE,0.01,0,1,9
117.az,FALSE,0,0,1,1
119.az,TRUE,10.66,15,29,493
121pro.az,TRUE,34.64,0,76,1097
123.az,FALSE,0,0,1,1
1234.az,TRUE,68.22,4,162,3609
123news.az,FALSE,0,0,1,1
124studios.az,FALSE,0,0,1,1
12restoran.az,TRUE,1457.72,12,3757,842416
1337.az,FALSE,0,0,1,1
13rr.az,TRUE,3.77,0,9,101
13villa.az,TRUE,0.01,0,1,10
145.az,TRUE,24.61,24,70,1325
145group.az,TRUE,52.19,0,114,1566
149avtotelim.az,TRUE,72.78,41,222,6354
149dekor.az,TRUE,50.16,54,161,3940
149dekorxidmeti.az,TRUE,50.16,54,161,4099
149suruculuk.az,FALSE,0,0,1,1
149xanimlar.az,FALSE,0,0,1,1
149xanimlarinxetti.az,TRUE,50.16,54,161,4332
14reklam.az,TRUE,66.23,5,159,3249
158cargotaxi.az,FALSE,0,0,1,1
166.az,TRUE,406.18,213,1764,181734
166cargo.az,TRUE,18.67,0,41,449
166china.az,TRUE,189.02,38,568,31138
166hr.az,TRUE,34.21,25,97,2000
166hvac.az,FALSE,0,0,1,1
166karqo.az,TRUE,18.67,0,41,464
166logistika.az,TRUE,189.02,38,568,25878
166qr.az,TRUE,0.45,0,2,18
166servis.az,TRUE,0.47,0,2,18
166tech.az,TRUE,87.1,57,281,9699
166temizlik.az,TRUE,211.58,87,742,45122
166tender.az,TRUE,35.13,0,77,1116
166xalca.az,TRUE,75.79,51,240,8053
1676.az,TRUE,26.85,46,84,1959
1676express.az,TRUE,0.05,0,1,9
1688.az,TRUE,0.09,0,1,9
171.az,TRUE,7.04,3,17,210
175.az,TRUE,41.46,53,133,3082
183.az,FALSE,0,0,1,1
189courier.az,FALSE,0,0,1,1
189taxi.az,TRUE,20.42,28,59,1207
18saylivekilburosu.az,FALSE,0,0,1,1
1905.az,TRUE,126.36,246,571,24584
1937.az,TRUE,29.04,0,64,837
1945.az,FALSE,0,0,1,1
19tti.az,TRUE,62.28,20,171,4247
1bank.az,FALSE,0,0,1,1
1bax.az,FALSE,0,0,1,1
1box.az,TRUE,29.64,74,101,2358
1c-bitrix.az,TRUE,19.68,32,58,1154
1caz.az,TRUE,19.62,51,63,1430
1cbn.az,FALSE,0,0,1,1
1cfresh.az,FALSE,0,0,1,1
1cloud.az,TRUE,32.92,14,87,1772
1cmuhasib.az,TRUE,40.7,39,124,2873
1conline.az,TRUE,340.4,1315,2658,275714
1cs5.az,TRUE,0.61,0,2,20
1csolutions.az,TRUE,113.79,4,269,7298
1ev.az,TRUE,1.19,2,4,45
1evsat.az,TRUE,314.49,415,1656,154518
1group.az,FALSE,0,0,1,1
1gunluk.az,FALSE,0,0,1,1
1home.az,TRUE,82.96,20,228,7049
1host.az,TRUE,0.84,0,3,29
1imtahan.az,TRUE,22.54,2,52,830
1is.az,TRUE,302.77,179,1256,111464
1kod.az,TRUE,4.41,3,11,154
1kuryer.az,TRUE,64.2,26,183,4979
1link.az,TRUE,2136.95,49,6693,2668122
1manat.az,TRUE,22.39,0,49,550
1muhasib.az,TRUE,40.7,41,125,3336
1news.az,TRUE,70.32,253,321,11428
1point.az,FALSE,0,0,1,1
1rebel.az,TRUE,103.52,4,245,5960
1school.az,TRUE,6.13,0,14,133
1sec.az,TRUE,20.51,19,57,1191
1sigorta.az,TRUE,36.62,2,84,1402
1sinaq.az,FALSE,0,0,1,1
1soft.az,TRUE,252.79,92,897,63912
1standart.az,TRUE,120.38,11,308,9584
1step.az,TRUE,35.39,0,77,1001
1stfitness.az,TRUE,70.17,24,197,5810
1stophs.az,TRUE,61.45,0,134,2220
1taksi.az,TRUE,0.04,0,1,10
1taxi.az,TRUE,0.04,0,1,9
1time.az,TRUE,311.15,467,1700,156465
1to1edu.az,TRUE,3.3,0,8,81
1turkcell.az,TRUE,82.1,0,178,3125
1vin.az,FALSE,0,0,1,1
1web.az,TRUE,99.52,19,271,8485
1win.az,FALSE,0,0,1,1
1win-az.az,TRUE,11.42,0,26,303
1win-azerbaycan.az,FALSE,0,0,1,1
1win-azerbaycan2.az,FALSE,0,0,1,1
1win-bet.az,TRUE,58.53,46,182,5060
1win-casino.az,TRUE,207.18,34,611,32981
1win0.az,FALSE,0,0,1,1
1win1.az,FALSE,0,0,1,1
1wins.az,TRUE,104.15,24,293,8872
1winx.az,FALSE,0,0,1,1
1xeber.az,TRUE,277.14,5,664,32082
200.az,TRUE,5.11,0,12,130
200soft.az,TRUE,0.96,0,3,27
20january.az,FALSE,0,0,1,1
20thcenturyfox.az,FALSE,0,0,1,1
21couturehouse.az,FALSE,0,0,1,1
220-volt.az,TRUE,2.34,0,6,59
220volt.az,TRUE,2.34,0,6,60
2222.az,TRUE,3.11,0,8,84
23group.az,TRUE,103.94,6,253,7725
23hotels.az,TRUE,0,0,1,9
23steps.az,TRUE,211.02,39,637,33035
2424.az,FALSE,0,0,1,1
247app.az,TRUE,175.44,2,400,13910
247transport.az,FALSE,0,0,1,1
24info.az,TRUE,5.92,0,14,136
24infomedia.az,TRUE,109.91,188,463,19487
24k.az,TRUE,436.12,659,2666,333071
24kitchen.az,TRUE,0.09,0,1,9
24media.az,TRUE,65.86,173,272,10064
24sahe.az,FALSE,0,0,1,1
24x7.az,FALSE,0,0,1,1
24xeber.az,TRUE,751.36,0,1624,140004
25saat.az,FALSE,0,0,1,1
27sentyabr.az,TRUE,288.53,1040,2068,200627
28cinema.az,TRUE,49.67,8,124,2733
28mall.az,TRUE,28.32,1,64,1016
2baku.az,TRUE,750.28,0,1622,133571
2gis.az,TRUE,462.46,21,1273,114080
2m-supply.az,TRUE,67.75,3,158,3493
2meet.az,TRUE,1.08,0,3,31
2school.az,TRUE,25.78,4,62,1031
2teker.az,TRUE,162.68,272,756,39959
2x2consulting.az,TRUE,36.49,36,109,2448
306.az,FALSE,0,0,1,1
313.az,FALSE,0,0,1,1
31c.az,TRUE,45.41,14,120,2953
31concept.az,TRUE,45.41,14,120,2776
32gozel.az,TRUE,0.49,0,2,20
32gun.az,TRUE,77.42,113,288,9347
32inci.az,TRUE,0.48,0,2,18
32karat.az,TRUE,9.31,7,24,360
3333047.az,TRUE,11.51,0,26,308
333e-oyun.az,TRUE,12.51,8,32,552
33event.az,TRUE,136.76,47,426,18120
360.az,TRUE,0.16,0,1,10
360boost.az,TRUE,335.66,4,792,44648
360camera.az,TRUE,2.54,0,6,55
360kamera.az,TRUE,2.54,0,6,57
360marketinq.az,TRUE,250.94,62,822,48408
361.az,TRUE,16.48,1,38,538
365.az,FALSE,0,0,1,1
365-azcon.az,FALSE,0,0,1,1
365farmnet.az,TRUE,115.25,3,268,7143
365tourism.az,TRUE,43.65,1,98,1741
366.az,TRUE,0.16,0,1,9
3aan.az,TRUE,98.05,4,232,5671
3agroup.az,TRUE,15.99,0,36,378
3alma.az,TRUE,83.96,82,291,9957
3cx.az,TRUE,1307.95,97,4689,1266984
3ddesign.az,TRUE,132.92,51,420,17426
3dgroup.az,TRUE,0.24,0,2,21
3dm.az,FALSE,0,0,1,1
3dmedia.az,TRUE,99.64,63,328,12208
3dmodel.az,TRUE,16.01,0,36,450
3dots.az,TRUE,51.13,32,150,4216
3dprint.az,TRUE,104.69,19,285,9469
3dprinter.az,TRUE,266.95,32,780,48331
3dqaraj.az,TRUE,96.12,12,249,7386
3dsecure.az,FALSE,0,0,1,1
3dskan.az,TRUE,4.8,0,11,122
3dstudio.az,TRUE,1.32,0,4,41
3dtexnologiya.az,TRUE,104.17,113,387,14403
3faz.az,TRUE,203.99,0,442,14589
3gen.az,TRUE,26,3,61,1002
3genpro.az,FALSE,0,0,1,1
3plus.az,TRUE,194.53,13,507,22775
3sgroup.az,FALSE,0,0,1,1
3sual.az,TRUE,4.13,0,10,102
3tservice.az,FALSE,0,0,1,1
4040.az,TRUE,0.29,0,2,18
42-ciparalel.az,FALSE,0,0,1,1
421.az,FALSE,0,0,1,1
42coffeeroasters.az,TRUE,66.45,16,178,4272
42u.az,TRUE,2.95,0,7,70
43nar.az,TRUE,72.98,11,187,4582
44days.az,TRUE,56.41,0,123,1877
44gun.az,TRUE,0.08,0,1,9
44gunsavash.az,TRUE,53.3,128,204,6229
4cars.az,TRUE,189.06,7,465,20671
4carx.az,TRUE,47.04,15,125,3113
4comfort.az,TRUE,37.4,37,113,2576
4connection.az,FALSE,0,0,1,1
4corner.az,FALSE,0,0,1,1
4cult.az,TRUE,47.88,49,151,3930
4drive.az,TRUE,151.6,70,509,22783
4drones.az,TRUE,45.38,3,106,2041
4finance.az,TRUE,1.3,0,4,43
4in.az,TRUE,45.49,22,127,3157
4k6ag.az,TRUE,106.6,13,278,9550
4kids.az,TRUE,66.61,76,228,6436
4rest.az,FALSE,0,0,1,1
4stars.az,FALSE,0,0,1,1
4teker.az,TRUE,47.04,110,174,5014
4trip.az,TRUE,1231.33,22,3408,790099
4you.az,FALSE,0,0,1,1
50-50.az,TRUE,2.35,0,6,66
505.az,FALSE,0,0,1,1
5050.az,TRUE,103.83,13,271,7712
5055ayiqsurucu.az,TRUE,22.38,0,49,611
50qepik.az,TRUE,117.42,4,278,8659
525.az,FALSE,0,0,1,1
5959.az,TRUE,13.29,0,30,360
5adent.az,TRUE,204.81,67,681,37459
5doors.az,TRUE,53.13,13,139,3170
5fm.az,FALSE,0,0,1,1
5inn1.az,TRUE,1.08,0,3,30
5media.az,FALSE,0,0,1,1
5slogistic.az,FALSE,0,0,1,1
6-cimertebe.az,FALSE,0,0,1,1
6070.az,TRUE,51.73,78,178,4936
611cars.az,TRUE,27.82,10,71,1210
63motors.az,TRUE,81.31,1,182,3542
666.az,FALSE,0.11,0,1,1
666temizlik.az,TRUE,14.75,10,38,673
68dp.az,TRUE,51.14,2,117,2190
6900.az,TRUE,111.14,0,241,4717
6hiss.az,TRUE,8.38,0,19,184
6news.az,FALSE,0,0,1,1
700.az,TRUE,15.63,27,46,842
7070.az,TRUE,3.3,0,8,85
70mai.az,FALSE,0,0,1,1
7676.az,TRUE,42.95,1,97,1693
