domain,alive,homepage_kb,internal_links,indexed_pages_est,visitors_est_monthly
catalystteambuilding.az,True,57.74,75,197,5285
catellanismith.az,True,79.91,41,244,7534
catena.az,True,29.29,6,72,1317
catholic.az,True,163.4,25,461,18462
catirsigorta.az,True,3.52,0,9,86
caucasian.az,True,29.8,0,65,904
caucasusenergy.az,True,58.18,13,152,3533
caucasusmininggroup.az,True,0.61,0,2,18
caucasusstudies.az,True,57.17,143,225,7529
caucasustech.az,True,24.5,2,57,843
cavabim.az,False,0.0,0,1,1
cavablar.az,True,85.77,2,196,4513
cavadagdas.az,True,170.03,187,714,38631
cavan.az,True,82.46,18,223,6234
cavid.az,True,0.16,0,1,9
cavidememmedova.az,False,0.0,0,1,1
cavidismayilov.az,True,8.69,1,20,266
cbar.az,True,99.42,477,548,23061
cbcaz.az,True,180.83,31,526,24023
cbcbanyo.az,True,16.88,29,50,1063
cbcg.az,True,15.99,0,36,381
cbclub.az,True,189.78,51,600,33308
cbcsport.az,True,249.9,186,1048,68851
cbctv.az,True,218.4,263,1006,73545
cbd.az,False,24.62,2,57,44
cbg.az,True,60.72,107,223,6863
cbgroup.az,True,32.5,76,112,2655
cbgservices.az,True,7.86,1,18,215
cbh.az,True,5.45,0,13,132
cbm.az,True,0.62,0,2,21
cbmes.az,True,0.64,0,2,20
cbs.az,True,34.49,0,75,999
cbsconstruction.az,True,53.83,49,170,4630
cbsolutions.az,True,12.35,0,28,326
cbt.az,False,0.0,0,1,1
cbtravel.az,True,55.35,44,171,5134
ccaz.az,False,0.0,0,1,1
ccc.az,True,214.94,38,646,32848
ccenergy.az,True,49.71,3,116,2159
ccf.az,False,0.0,0,1,1
ccg.az,True,47.54,0,104,1396
ccgrass.az,True,0.21,0,1,10
cch.az,True,52.36,29,152,4082
ccitech.az,True,0.88,0,3,28
ccl.az,True,130.44,1,291,7179
ccm.az,False,0.0,0,1,1
ccp.az,True,0.46,0,2,21
ccpolad.az,True,50.1,3,117,2356
ccrs.az,True,19.54,2,45,647
ccs.az,True,37.4,68,126,2919
ccservices.az,True,112.34,0,244,5303
cctv.az,True,0.57,0,2,18
cda.az,True,24.9,9,63,1170
cdek.az,True,0.74,0,3,27
cdek-az.az,False,0.0,0,1,1
cdek-express.az,True,519.51,31,1510,153068
cdek-forbusiness.az,True,49.17,4,117,2519
cdig.az,True,0.44,0,2,18
cdl.az,True,50.62,3,118,2083
cdlseabreeze.az,True,50.62,28,146,3933
cdm.az,True,472.95,3,1098,80645
cdmco.az,False,0.0,0,1,1
cdn.az,True,2.21,0,6,57
cdtbaku.az,True,8.02,0,18,198
ce-parts.az,True,237.21,34,700,38358
cea.az,True,3.63,0,9,85
ceba.az,True,0.12,0,1,9
cebheinfo.az,True,113.85,277,532,25646
cebrayilov.az,True,3.25,0,8,84
cebrix.az,True,1.19,0,4,41
ceburek.az,False,0.0,0,1,1
cec.az,True,29.8,2,69,998
cee.az,True,0.19,0,1,10
ceg.az,True,16.32,13,43,741
cehizal.az,True,10.18,24,30,593
cek.az,True,25.91,90,92,2276
cekstore.az,False,0.0,0,1,1
cel.az,True,32.84,18,90,2039
cela.az,True,80.47,5,193,4577
celebixan.az,True,71.21,5,171,4316
celebrity.az,True,162.45,2,371,12432
celebritycruises.az,False,0.0,0,1,1
celilsireliyev.az,True,32.83,36,99,2148
celine.az,False,410.5,209,1774,9983
celio.az,False,0.0,0,1,1
cell.az,True,0.3,0,2,21
celt.az,True,100.9,85,353,13339
cemetery.az,False,0.0,0,1,1
cempion.az,True,54.85,102,200,5932
ceng.az,True,109.92,42,336,11573
cengroup.az,True,10.17,0,23,236
cennet.az,False,0.0,0,1,1
cennetim.az,False,0.0,0,1,1
cennetpark.az,True,174.85,20,479,20162
censgroup.az,True,66.89,0,145,2453
centralclinic.az,False,0.0,0,1,1
centralconsulting.az,True,3.05,0,8,87
centraldev.az,True,21.1,2,49,688
centralhostel.az,True,36.65,0,80,1106
centralmakina.az,True,21.31,7,53,919
centralmotors.az,False,0.0,0,1,1
centralnet.az,True,78.19,7,193,5144
centralpark.az,True,12.31,3,30,401
centralplaza.az,True,7.91,0,18,183
centralpoint.az,True,15.99,0,36,376
centralsupply.az,True,0.54,0,2,19
cenub.az,True,176.08,359,888,55094
cenublu.az,True,353.68,351,1770,168767
cenubpress.az,False,0.0,0,1,1
cenubregional.az,True,58.53,0,127,1915
cenubtaxi.az,True,26.06,1,59,808
cenubtv.az,True,218.87,225,965,63873
ceo.az,True,9.59,0,22,247
ceoclub.az,True,37.64,7,93,1786
ceoconstruction.az,True,2.01,0,5,50
ceoevents.az,True,0.16,0,1,9
ceomedia.az,True,15.99,0,36,414
cep.az,True,67.95,124,258,9285
ceramic.az,True,25.35,0,56,766
ceramic-pro.az,True,73.17,75,249,7621
ceramica.az,True,46.14,72,156,4051
ceramiccity.az,True,148.41,105,542,23790
ceramicgallery.az,True,82.99,2,190,4545
cerberus.az,True,17.66,3,42,630
cerene.az,False,0.0,0,1,1
cereyan.az,True,0.0,0,1,10
cerez.az,True,702.96,165,2856,489988
cerime.az,True,2.96,3,8,114
cermington.az,True,17.51,3,42,681
cerrah.az,False,0.0,0,1,1
cerrahiye.az,True,12.61,0,28,326
cerrahiyye.az,True,189.16,41,575,26882
cerrahpasa.az,True,12.9,0,29,345
cerrahxubanov.az,True,105.51,51,334,12306
cerruti1881.az,True,53.62,14,141,3321
cersud.az,False,0.0,0,1,1
cert.az,True,29.28,92,105,2789
certifica.az,True,165.94,110,613,34162
certix.az,True,128.33,25,362,14377
certus.az,True,49.03,50,155,4359
certuss.az,True,0.25,0,2,19
cervision.az,False,0.0,0,1,1
ces.az,False,26.94,30,79,80
cesareattolini.az,True,0.09,0,1,10
cesd.az,True,68.56,2,157,3273
cestbon.az,True,54.37,82,189,5880
ceta.az,True,58.75,118,221,6712
cetco.az,False,0.0,0,1,1
cetinkaya.az,False,0.0,0,1,1
cetir.az,True,34.64,0,76,1075
cewm.az,True,118.43,30,343,11907
ceykum.az,False,0.0,0,1,1
ceylan.az,True,50.8,28,146,3639
ceza.az,True,13.8,70,47,1078
cfg.az,True,91.39,24,257,8755
cfi.az,False,15.65,5,38,28
cfifinancial.az,False,0.0,0,1,1
cfmoto.az,True,126.68,38,381,14901
cfo-club.az,False,0.0,0,1,1
cfs.az,True,67.42,32,198,5072
cga.az,True,46.01,0,100,1511
cgi.az,False,0.0,0,1,1
cgl.az,True,24.04,28,70,1437
cgm.az,True,2.01,1,5,53
cgma.az,True,1.56,0,4,37
cgs.az,True,233.65,97,838,49199
cgsupply.az,False,0.0,0,1,1
ch1.az,False,0.0,0,1,1
chabiant.az,True,70.97,60,232,6854
chabianthotel.az,True,24.69,28,72,1474
chado.az,True,8.73,0,20,202
chai.az,True,4.66,0,11,107
chaiman.az,True,32.11,31,94,2240
chair.az,True,111.29,11,285,8775
chakra.az,True,0.16,0,1,10
chakrahome.az,False,0.0,0,1,1
chakrainterior.az,True,20.81,2,48,725
